ST	n
ST10	9
ST101	15
ST1056	1
ST10836	4
ST1084	1
ST10944	1
ST11215	1
ST1125	1
ST1137	2
ST1148	1
ST115	1
ST1163	3
ST117	90
ST1178	1
ST12	1
ST124	1
ST12767	1
ST1286	1
ST12919	1
ST12959	2
ST12960	1
ST12961	1
ST1303	1
ST131	14
ST135	3
ST13736	1
ST140	3
ST1406	1
ST1408	1
ST141	2
ST155	8
ST1551	1
ST1594	2
ST1611	1
ST162	3
ST1638	3
ST1640	1
ST1673	2
ST1684	3
ST1859	1
ST1914	5
ST201	1
ST2040	3
ST212	2
ST2223	2
ST224	2
ST2280	2
ST23	9
ST2473	2
ST2785	1
ST2792	1
ST29	1
ST297	7
ST3232	1
ST348	1
ST349	6
ST350	9
ST351	3
ST354	1
ST355	11
ST3580	16
ST3589	1
ST362	3
ST366	1
ST369	1
ST371	1
ST3721	1
ST373	1
ST38	2
ST388	1
ST3998	1
ST4045	1
ST4118	1
ST428	10
ST429	22
ST448	1
ST453	2
ST457	2
ST4767	1
ST48	4
ST4981	1
ST538	1
ST542	1
ST567	1
ST569	2
ST57	12
ST58	6
ST5840	2
ST5853	1
ST5908	1
ST5931	1
ST5940	1
ST602	2
ST6096	1
ST6255	1
ST646	3
ST648	2
ST6613	1
ST6619	1
ST6620	1
ST6621	1
ST665	2
ST68	1
ST69	7
ST706	1
ST7233	1
ST744	2
ST746	1
ST752	1
ST7611	1
ST7635	1
ST7804	4
ST79	2
ST8122	1
ST8398	1
ST847	1
ST8587	1
ST88	5
ST9295	1
ST93	6
ST937	2
ST949	1
ST95	17
ST973	7
ST9862	2
