ST	n
ST1	70
ST10	7513
ST100	306
ST10007	2
ST1001	12
ST10011	6
ST10042	1
ST10044	1
ST10045	1
ST10046	1
ST10047	2
ST10048	2
ST10049	1
ST10051	1
ST10052	1
ST10053	3
ST10054	1
ST10055	1
ST10056	1
ST10057	1
ST10058	1
ST10059	1
ST10060	1
ST10061	2
ST10063	1
ST10064	4
ST10065	1
ST10066	5
ST10067	1
ST10068	1
ST10069	2
ST1007	5
ST10070	1
ST10071	1
ST10072	1
ST10073	1
ST10074	1
ST10075	2
ST10076	1
ST10077	1
ST10078	1
ST10079	1
ST10080	1
ST10081	1
ST10083	2
ST10084	1
ST10085	1
ST10087	1
ST10088	4
ST10094	1
ST10095	3
ST10097	2
ST10098	3
ST10099	1
ST101	1208
ST10100	1
ST10101	1
ST10102	2
ST10106	1
ST1011	188
ST10121	1
ST10122	1
ST10123	1
ST10132	1
ST10135	1
ST10136	2
ST10137	1
ST10148	2
ST10151	1
ST10152	1
ST10153	1
ST10154	1
ST10157	1
ST10158	1
ST10159	2
ST10163	1
ST10170	4
ST10180	1
ST10182	1
ST10184	1
ST10186	1
ST10188	1
ST10190	2
ST10191	1
ST10193	1
ST10194	1
ST10195	2
ST10196	1
ST10197	1
ST10198	1
ST10199	1
ST102	2
ST1020	4
ST10200	1
ST10201	1
ST10202	2
ST10203	1
ST10204	1
ST10205	1
ST10206	1
ST10207	1
ST10209	1
ST10210	4
ST10211	1
ST10212	1
ST10213	1
ST10214	1
ST10215	1
ST10216	1
ST10217	1
ST10218	1
ST10219	1
ST10220	1
ST10221	1
ST10222	2
ST10223	1
ST10224	1
ST10225	1
ST10226	1
ST10227	4
ST10228	1
ST10229	1
ST10230	1
ST10231	1
ST10232	1
ST10234	1
ST10235	1
ST10236	1
ST10237	2
ST10238	2
ST10239	1
ST10240	1
ST10241	1
ST10242	1
ST10243	2
ST10244	1
ST10245	1
ST10246	1
ST10247	1
ST10248	1
ST10249	1
ST10250	1
ST10251	1
ST10252	3
ST10253	1
ST10254	1
ST10255	1
ST10256	1
ST10257	1
ST10258	1
ST10259	1
ST10260	1
ST10261	1
ST10262	1
ST10263	1
ST10264	1
ST10265	1
ST10266	1
ST10267	1
ST10268	1
ST10269	1
ST10270	1
ST10271	2
ST10272	1
ST10273	1
ST10274	1
ST10275	1
ST10276	1
ST10277	1
ST10278	1
ST10279	1
ST10280	1
ST10281	1
ST10282	1
ST10283	1
ST10284	2
ST10285	1
ST10286	1
ST10287	1
ST10288	2
ST10289	1
ST1029	2
ST10290	1
ST10291	1
ST10292	2
ST10293	1
ST10294	1
ST10295	1
ST10296	1
ST10297	1
ST10298	1
ST10299	1
ST10301	1
ST10308	1
ST1031	7
ST10310	2
ST10311	1
ST10312	1
ST10313	2
ST10314	1
ST10315	1
ST10316	1
ST10317	1
ST10318	1
ST10319	1
ST1032	1
ST10320	8
ST10321	1
ST10322	1
ST10323	1
ST10324	1
ST10325	2
ST10326	1
ST10327	2
ST10328	1
ST1033	2
ST10332	1
ST10333	1
ST10334	13
ST10338	5
ST10339	1
ST1034	6
ST10340	3
ST10341	1
ST10342	1
ST10343	1
ST10346	1
ST10347	1
ST10349	1
ST10385	1
ST10386	1
ST10387	3
ST10388	1
ST10389	1
ST10390	1
ST10393	1
ST10394	4
ST10395	1
ST10396	1
ST10397	1
ST10398	1
ST10399	1
ST104	24
ST1040	6
ST10401	1
ST10402	1
ST10403	1
ST10404	1
ST10405	1
ST10406	1
ST10407	1
ST10408	1
ST10409	1
ST1041	32
ST10410	1
ST10411	1
ST10412	1
ST10413	1
ST10414	1
ST10415	1
ST10418	1
ST10419	2
ST10423	1
ST10425	4
ST10426	1
ST10428	1
ST10429	1
ST10430	1
ST10431	4
ST10432	1
ST10433	1
ST10434	1
ST10435	1
ST10440	2
ST10442	1
ST10443	1
ST10445	1
ST10458	1
ST10460	1
ST10461	1
ST10462	1
ST10463	1
ST10464	1
ST10465	1
ST10466	1
ST10467	1
ST10468	1
ST10472	5
ST10477	1
ST10478	3
ST10479	4
ST10480	1
ST10481	1
ST10483	1
ST10484	1
ST10485	1
ST10486	1
ST10487	1
ST10488	1
ST10489	1
ST1049	61
ST10490	1
ST10491	1
ST10493	1
ST10495	1
ST10496	2
ST10498	1
ST10499	7
ST105	3
ST10500	1
ST10501	2
ST10502	1
ST10503	1
ST10505	1
ST10507	1
ST10511	1
ST10512	1
ST10514	1
ST10515	1
ST10516	1
ST10517	1
ST10518	1
ST10519	2
ST10520	2
ST10525	1
ST10526	1
ST10527	2
ST10528	1
ST10529	1
ST10530	3
ST10531	1
ST10532	1
ST10533	2
ST10534	1
ST10535	1
ST10536	1
ST10537	1
ST10538	2
ST10545	3
ST10546	1
ST10547	2
ST10548	1
ST10550	1
ST10552	1
ST10555	1
ST10559	3
ST1056	45
ST10560	2
ST10561	1
ST10562	7
ST10564	1
ST10565	1
ST10567	1
ST1057	39
ST10570	1
ST10572	1
ST10575	1
ST10577	2
ST10578	1
ST10586	2
ST10587	2
ST10588	1
ST10590	1
ST10591	4
ST10592	1
ST10593	1
ST10595	1
ST10596	3
ST10598	1
ST10599	2
ST106	73
ST1060	90
ST10600	1
ST10601	1
ST10603	2
ST10604	2
ST10606	1
ST10607	1
ST10609	1
ST1061	2
ST10610	1
ST10611	1
ST10613	3
ST10614	4
ST10619	2
ST10620	1
ST10621	1
ST10622	1
ST10623	1
ST10624	2
ST10625	1
ST10626	1
ST10627	1
ST10628	1
ST10629	1
ST10630	1
ST10631	1
ST10632	1
ST10633	1
ST10634	2
ST10635	4
ST10636	2
ST10637	1
ST10638	1
ST10639	1
ST1064	4
ST10640	1
ST10642	1
ST10643	1
ST10645	2
ST10647	1
ST10648	1
ST10649	1
ST1065	1
ST10650	1
ST10651	3
ST10652	2
ST10654	2
ST10659	1
ST10660	4
ST10671	1
ST10672	1
ST10673	1
ST1068	3
ST10693	1
ST10694	1
ST10696	1
ST10697	1
ST10698	16
ST107	3
ST10700	1
ST10701	1
ST10702	3
ST10704	1
ST10705	1
ST10706	2
ST10707	1
ST10708	1
ST1071	4
ST10711	2
ST10712	1
ST10713	2
ST10714	1
ST10715	2
ST10717	1
ST10718	2
ST1072	18
ST10720	1
ST10721	5
ST10722	1
ST10723	1
ST10724	1
ST10725	1
ST10726	1
ST10727	1
ST10728	1
ST10729	3
ST10730	1
ST10731	1
ST10732	1
ST10733	1
ST10734	1
ST10735	1
ST10736	1
ST10738	2
ST10739	1
ST10740	4
ST10742	1
ST10743	1
ST10744	1
ST10745	1
ST10746	1
ST10747	1
ST10748	1
ST10749	1
ST10750	1
ST10751	1
ST10752	6
ST10753	1
ST10754	1
ST10755	1
ST10756	1
ST10757	1
ST10762	2
ST10763	1
ST10764	1
ST10765	3
ST10767	2
ST10768	1
ST10770	2
ST10771	1
ST10774	3
ST10775	1
ST10776	1
ST10777	4
ST10778	1
ST10779	1
ST10781	1
ST10782	1
ST10784	2
ST10785	1
ST10786	1
ST10787	2
ST10788	2
ST1079	142
ST10793	1
ST10795	2
ST10797	1
ST108	32
ST1080	20
ST10800	1
ST10801	2
ST10802	1
ST10803	1
ST10804	1
ST10805	1
ST10807	1
ST10808	1
ST10809	3
ST1081	109
ST10811	2
ST10812	1
ST10813	2
ST10814	1
ST10817	2
ST10818	2
ST10819	1
ST10824	1
ST10825	1
ST10829	1
ST1083	9
ST10835	1
ST10836	8
ST10837	1
ST10838	1
ST1084	13
ST10840	2
ST10841	2
ST10842	1
ST10843	2
ST10844	1
ST10845	1
ST10846	1
ST10847	1
ST10848	3
ST10849	2
ST10850	2
ST10852	1
ST10853	1
ST10854	1
ST10855	1
ST10856	1
ST1086	21
ST10865	6
ST1087	3
ST10884	3
ST10885	1
ST10886	2
ST10888	2
ST10889	2
ST10890	2
ST10891	1
ST10892	2
ST10893	1
ST10894	5
ST10895	1
ST10897	1
ST109	157
ST1090	1
ST10907	1
ST10909	4
ST1091	25
ST1092	22
ST10923	2
ST10924	4
ST10931	1
ST10934	1
ST10936	1
ST10937	1
ST10939	3
ST10941	1
ST10943	1
ST10944	1
ST10945	1
ST10946	1
ST10947	1
ST10948	1
ST10949	1
ST10950	1
ST10951	2
ST10952	1
ST10953	2
ST10954	1
ST10955	6
ST10956	1
ST10957	1
ST10958	1
ST10959	1
ST10960	1
ST10961	1
ST10962	1
ST10964	1
ST10965	2
ST10966	1
ST10967	1
ST10968	1
ST10969	1
ST10970	1
ST10971	1
ST10972	1
ST10973	1
ST10974	1
ST10975	1
ST10976	2
ST10977	1
ST10978	1
ST10979	1
ST10980	2
ST10981	1
ST10982	3
ST10983	1
ST10987	1
ST10988	7
ST10992	1
ST10993	1
ST10994	2
ST10995	1
ST10996	1
ST10997	2
ST10998	1
ST11	14126
ST110	4
ST11001	1
ST11003	1
ST11004	1
ST11005	1
ST11007	1
ST11008	3
ST11009	1
ST1101	24
ST11012	1
ST11013	2
ST11014	1
ST11015	1
ST11016	4
ST11019	1
ST1102	1
ST11021	15
ST11022	3
ST11023	2
ST11024	4
ST11026	1
ST11027	2
ST11028	27
ST11029	1
ST11030	1
ST11031	1
ST11032	1
ST11033	2
ST11034	1
ST11038	3
ST11039	1
ST1104	2
ST11040	1
ST11041	1
ST11043	2
ST11044	1
ST11045	1
ST11046	2
ST11047	1
ST11048	1
ST11049	1
ST11050	2
ST11052	1
ST11053	2
ST11054	1
ST11055	1
ST11058	1
ST1106	2
ST11060	2
ST11061	3
ST11062	1
ST11063	3
ST11064	1
ST11075	1
ST11076	4
ST11080	1
ST11081	3
ST1109	1
ST11091	1
ST11093	1
ST11094	1
ST11095	1
ST11096	1
ST11097	1
ST11098	1
ST11099	1
ST111	53
ST11100	1
ST11101	3
ST11102	3
ST11103	1
ST11106	1
ST11108	1
ST11110	1
ST11112	1
ST11113	1
ST11114	1
ST11115	1
ST11116	1
ST11117	1
ST11118	6
ST11119	1
ST1112	55
ST11120	2
ST11121	1
ST11122	1
ST11123	2
ST11124	2
ST11125	4
ST11126	1
ST11127	1
ST11129	1
ST1113	4
ST11130	1
ST11131	1
ST11136	1
ST11137	1
ST11138	2
ST11139	1
ST1114	72
ST11141	1
ST11142	2
ST11144	3
ST11145	1
ST1115	8
ST11151	1
ST11152	2
ST11153	1
ST11156	1
ST11157	1
ST11158	6
ST11159	1
ST11160	1
ST11161	2
ST11162	1
ST11163	1
ST11164	1
ST11165	3
ST11166	1
ST11167	1
ST11168	1
ST11169	1
ST1117	5
ST11170	1
ST11171	3
ST11179	1
ST11184	4
ST11185	1
ST11186	1
ST11187	1
ST1119	3
ST11190	1
ST11196	1
ST11197	2
ST11198	1
ST112	1
ST11204	1
ST11209	2
ST1121	31
ST11214	1
ST11215	2
ST11216	2
ST11219	2
ST1122	57
ST11220	1
ST11221	3
ST11222	2
ST11223	1
ST11224	1
ST11225	1
ST1123	28
ST11230	2
ST11231	6
ST11232	1
ST11237	9
ST11238	1
ST11239	1
ST11240	3
ST11241	2
ST11242	1
ST11243	2
ST11244	1
ST11245	2
ST11247	1
ST11248	1
ST11249	1
ST1125	177
ST11250	1
ST11251	1
ST11252	1
ST11254	1
ST11258	1
ST1126	10
ST11260	1
ST11263	1
ST11264	1
ST11265	1
ST11267	2
ST11268	1
ST11269	1
ST11270	1
ST11271	1
ST11272	1
ST11273	1
ST11274	1
ST11275	1
ST11276	5
ST1128	7
ST11280	4
ST11285	3
ST113	2
ST11303	2
ST11305	1
ST1131	7
ST11316	1
ST11317	1
ST11321	1
ST11322	2
ST11323	1
ST11324	1
ST11325	1
ST11326	1
ST11327	1
ST11328	1
ST11329	2
ST11330	1
ST11331	1
ST11332	1
ST11333	1
ST11334	1
ST11335	1
ST11336	1
ST11339	2
ST11341	2
ST11342	3
ST11343	1
ST11344	1
ST11346	1
ST11347	7
ST11348	2
ST11351	3
ST11352	1
ST11353	1
ST11354	1
ST11355	1
ST11359	1
ST1136	48
ST11360	2
ST11369	1
ST1137	27
ST11371	1
ST11372	1
ST11373	2
ST11374	1
ST11375	1
ST11376	2
ST11377	1
ST11378	1
ST11379	2
ST11381	1
ST11382	1
ST11386	1
ST1139	89
ST11391	4
ST11392	1
ST11393	1
ST11394	1
ST11396	1
ST11397	1
ST11398	1
ST11399	1
ST1140	70
ST11400	1
ST11401	1
ST11402	2
ST11404	3
ST11405	1
ST11406	1
ST1141	37
ST11410	1
ST11411	1
ST11413	1
ST11414	1
ST11415	4
ST11416	8
ST11417	1
ST11418	2
ST11419	2
ST11420	1
ST11421	2
ST11422	1
ST11423	1
ST11424	1
ST11425	1
ST11426	1
ST11427	1
ST11428	1
ST11429	1
ST11430	1
ST11431	1
ST11433	1
ST11436	3
ST11437	2
ST11438	1
ST11439	7
ST1144	4
ST11440	1
ST11441	11
ST11442	1
ST11443	4
ST11444	1
ST11445	2
ST11447	1
ST11448	3
ST11449	3
ST1145	8
ST11450	1
ST11451	1
ST11452	1
ST11453	5
ST11454	1
ST11455	5
ST11456	1
ST11459	1
ST1146	51
ST11460	1
ST11461	1
ST11462	2
ST11463	3
ST11464	2
ST11465	1
ST11468	1
ST1147	58
ST11470	2
ST11474	1
ST11476	2
ST11479	1
ST1148	54
ST11480	1
ST11484	1
ST11485	1
ST11488	2
ST11489	1
ST11490	1
ST11491	4
ST11492	1
ST11493	2
ST11495	1
ST11497	1
ST11498	1
ST11499	1
ST115	123
ST1150	1
ST11500	1
ST11501	1
ST11503	2
ST11504	1
ST11505	1
ST11507	1
ST11512	1
ST11514	1
ST11517	1
ST11518	1
ST11519	1
ST1152	10
ST11520	1
ST11521	2
ST11522	2
ST11523	1
ST11524	1
ST11525	1
ST11526	1
ST11527	1
ST11528	1
ST11529	1
ST1153	1
ST11530	2
ST11531	1
ST11532	1
ST11533	1
ST11534	1
ST11535	1
ST11536	1
ST11537	2
ST11538	1
ST11539	1
ST1154	8
ST11540	1
ST11541	1
ST11542	2
ST11543	1
ST11544	2
ST11545	1
ST11546	2
ST1155	10
ST11553	1
ST1156	2
ST11565	1
ST11566	1
ST11568	3
ST11569	1
ST1157	14
ST11570	1
ST11571	1
ST11572	1
ST11573	1
ST11574	2
ST11575	2
ST11576	1
ST11578	3
ST1158	48
ST11580	4
ST11582	1
ST11585	2
ST11586	1
ST11587	1
ST11588	1
ST11589	1
ST1159	53
ST11590	2
ST11592	1
ST11593	1
ST11594	2
ST11595	1
ST11596	2
ST11597	1
ST11598	1
ST11599	2
ST11600	1
ST11602	1
ST11603	1
ST11604	3
ST11605	1
ST1161	21
ST11611	1
ST11612	1
ST11613	2
ST11616	1
ST11617	1
ST11618	1
ST11619	1
ST1162	6
ST11620	1
ST11621	1
ST11624	1
ST11626	1
ST11627	1
ST11628	1
ST11629	2
ST1163	46
ST11630	1
ST11631	1
ST11632	2
ST11633	1
ST11635	2
ST11636	1
ST11637	2
ST11638	1
ST11655	3
ST11657	1
ST11658	1
ST11659	2
ST11660	2
ST11661	3
ST11663	1
ST11664	3
ST11666	1
ST11667	7
ST11668	3
ST11669	3
ST1167	28
ST11672	6
ST11679	3
ST11681	3
ST11682	1
ST11683	4
ST11684	1
ST11685	4
ST11688	1
ST11690	1
ST11692	1
ST117	1909
ST1170	44
ST11702	1
ST11703	1
ST11704	1
ST11705	2
ST11707	6
ST11708	3
ST11710	1
ST11711	1
ST11713	1
ST11714	1
ST11715	1
ST11716	1
ST11717	1
ST11718	1
ST11719	1
ST1172	12
ST11720	1
ST11722	1
ST11723	1
ST11724	1
ST11725	1
ST11726	1
ST11727	1
ST11729	10
ST11730	1
ST11731	1
ST11732	2
ST11734	1
ST11735	1
ST11736	1
ST11737	1
ST11738	2
ST11739	1
ST11740	1
ST11741	4
ST11742	3
ST11749	1
ST11757	1
ST11758	1
ST11759	1
ST1176	43
ST11760	1
ST11761	1
ST11762	1
ST11763	1
ST11764	2
ST11765	1
ST11766	1
ST11767	3
ST11768	3
ST11769	1
ST1177	34
ST11770	1
ST11771	2
ST11772	1
ST11773	1
ST11774	1
ST11776	1
ST11777	2
ST1178	35
ST11780	2
ST11793	2
ST11796	1
ST11797	1
ST118	30
ST11800	1
ST11801	1
ST11802	1
ST11804	2
ST11806	1
ST11807	2
ST11809	2
ST11810	1
ST11811	1
ST11813	1
ST11817	9
ST11827	1
ST11833	1
ST11834	1
ST11835	1
ST11836	1
ST11837	1
ST11838	1
ST11839	1
ST11840	2
ST11841	1
ST11842	1
ST11843	2
ST11844	1
ST11845	1
ST11846	1
ST11847	1
ST11848	2
ST11849	1
ST11850	1
ST11851	2
ST11852	1
ST11853	1
ST11854	1
ST11855	2
ST11856	1
ST11858	1
ST11859	1
ST11860	1
ST11861	1
ST11866	1
ST11867	1
ST11875	1
ST11885	1
ST11887	1
ST11890	1
ST11892	1
ST11893	1
ST11894	2
ST11895	1
ST11899	1
ST119	123
ST11904	1
ST11905	2
ST11906	1
ST11907	1
ST11908	1
ST11909	1
ST11913	1
ST11915	1
ST11922	1
ST11923	1
ST11924	1
ST11927	1
ST11928	1
ST11929	1
ST1193	1190
ST11930	1
ST11931	1
ST11932	1
ST11933	2
ST11935	1
ST11936	2
ST11937	1
ST11939	1
ST11940	2
ST11941	1
ST11942	3
ST11943	1
ST11950	2
ST11951	1
ST11952	1
ST11954	2
ST11955	1
ST11958	2
ST1196	172
ST11964	1
ST11965	1
ST11966	1
ST11967	1
ST11968	1
ST11969	1
ST11970	3
ST11972	1
ST11974	2
ST11975	1
ST11976	1
ST11977	1
ST11978	1
ST11979	2
ST1198	1
ST11980	1
ST11981	1
ST11982	1
ST11983	1
ST11984	1
ST11986	1
ST11987	3
ST11990	1
ST11991	13
ST11993	1
ST11997	14
ST12	834
ST120	35
ST12003	2
ST12004	1
ST12005	1
ST12006	1
ST1201	37
ST12013	1
ST12014	1
ST12015	1
ST12016	1
ST12017	1
ST12018	1
ST12019	1
ST1202	2
ST12020	1
ST12021	1
ST12022	1
ST12023	1
ST12024	1
ST12025	1
ST12028	2
ST12034	1
ST12035	1
ST12036	1
ST12037	1
ST1204	32
ST12040	1
ST12041	1
ST12042	1
ST12043	1
ST12044	4
ST12045	1
ST12047	1
ST1205	25
ST12052	1
ST12053	1
ST12054	2
ST12055	2
ST12056	1
ST12057	2
ST12058	1
ST12059	1
ST12060	1
ST12065	1
ST12066	3
ST12067	1
ST12068	1
ST12069	1
ST12070	1
ST12071	1
ST12072	1
ST12073	1
ST12076	1
ST12077	1
ST12079	1
ST12080	1
ST12081	1
ST12084	1
ST12085	1
ST12086	1
ST12087	1
