"Comparison","P_value","Adjusted_P_value"
"No vs NS",1.18655522778196e-183,2.37311045556392e-182
"No vs BSI",0.000405454990636285,0.00135151663545428
"No vs UPEC",9.27261273168409e-06,3.70904509267364e-05
"No vs ExPEC",0.065964155751922,0.109940259586537
"No vs APEC",0.604474531186027,0.711146507277679
"No vs Respiratory",0.460311140926746,0.575388926158433
"NS vs BSI",1.66153327516542e-19,1.10768885011028e-18
"NS vs UPEC",2.90114774304491e-46,2.90114774304491e-45
"NS vs ExPEC",2.15340591632013e-14,1.07670295816006e-13
"NS vs APEC",0.00380588509464416,0.00838320374292512
"NS vs Respiratory",0.0021446564557847,0.00612758987367057
"BSI vs UPEC",0.844032176558152,0.844032176558152
"BSI vs ExPEC",0.00322747757076275,0.00806869392690688
"BSI vs APEC",0.676959879396143,0.751839995139417
"BSI vs Respiratory",0.236794579187156,0.357341104098836
"UPEC vs ExPEC",0.00419160187146256,0.00838320374292512
"UPEC vs APEC",0.714247995382446,0.751839995139417
"UPEC vs Respiratory",0.250138772869185,0.357341104098836
"ExPEC vs APEC",0.0174085589292836,0.0316519253259701
"ExPEC vs Respiratory",NA,NA
"APEC vs Respiratory",0.34062509398755,0.4541667919834
