"Comparison","P_value","Adjusted_P_value"
"No vs NS",0,0
"No vs BSI",0,0
"No vs UPEC",0,0
"No vs ExPEC",7.93794706299608e-244,2.77828147204863e-243
"No vs APEC",5.18987476636675e-73,1.08987370093702e-72
"No vs Respiratory",1.24218590450165e-158,3.72655771350496e-158
"NS vs BSI",0,0
"NS vs UPEC",0,0
"NS vs ExPEC",8.55061576866901e-56,1.49635775951708e-55
"NS vs APEC",2.66207748067405e-21,4.30027900724269e-21
"NS vs Respiratory",1.2243495831259e-64,2.33739465869489e-64
"BSI vs UPEC",4.55612187541327e-09,5.6281505519811e-09
"BSI vs ExPEC",5.70518256880613e-99,1.49761042431161e-98
"BSI vs APEC",6.06966181542591e-17,8.49752654159628e-17
"BSI vs Respiratory",0.353451818640625,0.353451818640625
"UPEC vs ExPEC",1.51756321868762e-82,3.54098084360445e-82
"UPEC vs APEC",1.75771694369069e-10,2.30700348859403e-10
"UPEC vs Respiratory",0.308017090419917,0.323417944940913
"ExPEC vs APEC",0.0232504108277321,0.0256978224938092
"ExPEC vs Respiratory",1.93338530985153e-18,2.9000779647773e-18
"APEC vs Respiratory",2.9680600253518e-07,3.46273669624377e-07
