"Comparison","P_value","Adjusted_P_value"
"EPEC vs No",4.23912332766341e-22,5.51086032596244e-21
"EPEC vs EHEC",0.22795319621726,0.455513638776022
"EPEC vs STEC",3.99102474137641e-07,2.22357092733829e-06
"EPEC vs ETEC",0.548064522425364,0.890604848941216
"EPEC vs EIEC",0.793690918769821,0.966048632384951
"EPEC vs ETEC.STEC",0.743324666159851,0.966048632384951
"EPEC vs ETEC.EPEC",0.926521333836376,0.966048632384951
"EPEC vs ND",0.000412233564038812,0.00200963862468921
"EPEC vs ETEC.EHEC",0.889447783299793,0.966048632384951
"No vs EHEC",1.04012312918485e-98,4.05648020382093e-97
"No vs STEC",8.71582906164805e-21,8.49793333510685e-20
"No vs ETEC",2.82019267197167e-10,1.83312523678158e-09
"No vs EIEC",0.0103457318776246,0.0366803221115782
"No vs ETEC.STEC",0.00134050825762898,0.00542940524679832
"No vs ETEC.EPEC",0.356684595615825,0.662414249000818
"No vs ND",0.0177572375573322,0.0577110220613298
"No vs ETEC.EHEC",0.16990828957921,0.368134627421622
"EHEC vs STEC",1.43844934856099e-29,2.80497622969393e-28
"EHEC vs ETEC",0.035774426353763,0.0996573305569111
"EHEC vs EIEC",0.903926277025506,0.966048632384951
"EHEC vs ETEC.STEC",0.879870080126787,0.966048632384951
"EHEC vs ETEC.EPEC",0.966048632384951,0.966048632384951
"EHEC vs ND",1.73816956725443e-15,1.35577226245845e-14
"EHEC vs ETEC.EHEC",0.948846159673251,0.966048632384951
"STEC vs ETEC",0.00139215519148675,0.00542940524679832
"STEC vs EIEC",0.163808300573514,0.368134627421622
"STEC vs ETEC.STEC",0.081580055579705,0.212108144507233
"STEC vs ETEC.EPEC",0.616813041266593,0.931006322545836
"STEC vs ND",0.669390832240114,0.931504743066016
"STEC vs ETEC.EHEC",0.456118604509704,0.808573889812658
"ETEC vs EIEC",0.692657373049089,0.931504743066016
"ETEC vs ETEC.STEC",0.620670881697224,0.931006322545836
"ETEC vs ETEC.EPEC",0.88914906808196,0.966048632384951
"ETEC vs ND",0.0289252974230062,0.0867758922690185
"ETEC vs ETEC.EHEC",0.833602733147333,0.966048632384951
"EIEC vs ETEC.STEC",NA,NA
"EIEC vs ETEC.EPEC",NA,NA
"EIEC vs ND",0.233596737833858,0.455513638776022
"EIEC vs ETEC.EHEC",NA,NA
"ETEC.STEC vs ETEC.EPEC",NA,NA
"ETEC.STEC vs ND",0.136086269838879,0.331710282732267
"ETEC.STEC vs ETEC.EHEC",NA,NA
"ETEC.EPEC vs ND",0.671380055452568,0.931504743066016
"ETEC.EPEC vs ETEC.EHEC",NA,NA
"ND vs ETEC.EHEC",0.525095167368761,0.890378762060072
