"Comparison","P_value","Adjusted_P_value"
"EPEC vs No",0,0
"EPEC vs EHEC",0.272777967635044,0.292737331120535
"EPEC vs STEC",0,0
"EPEC vs ETEC",6.66989462662145e-14,1.63041868650747e-13
"EPEC vs EIEC",3.0574756478183e-06,5.17418955784635e-06
"EPEC vs ETEC.STEC",6.54246992034569e-10,1.30849398406914e-09
"EPEC vs ETEC.EPEC",0.0360152343070418,0.0480203124093891
"EPEC vs ND",6.20409570703722e-55,2.48163828281489e-54
"EPEC vs ETEC.EHEC",0.0018037500369466,0.00264550005418835
"No vs EHEC",0,0
"No vs STEC",2.64385507999297e-28,7.75530823464604e-28
"No vs ETEC",5.43126409616014e-204,3.98292700385077e-203
"No vs EIEC",1.10161048786797e-38,3.46220439044221e-38
"No vs ETEC.STEC",5.66939129041776e-61,2.49453216778381e-60
"No vs ETEC.EPEC",8.61678452455567e-07,1.5165540763218e-06
"No vs ND",0.13833536586979,0.164506921574885
"No vs ETEC.EHEC",2.36453830891113e-13,5.20198427960449e-13
"EHEC vs STEC",0,0
"EHEC vs ETEC",7.48724288725628e-14,1.73388782652251e-13
"EHEC vs EIEC",6.77058784997875e-06,1.10335505703357e-05
"EHEC vs ETEC.STEC",2.06187709781464e-09,3.94446053494975e-09
"EHEC vs ETEC.EPEC",0.0417526062867949,0.0524889907605421
"EHEC vs ND",3.03343082723549e-73,1.48301062664846e-72
"EHEC vs ETEC.EHEC",0.00243373615783022,0.00334638721701655
"STEC vs ETEC",6.60791292568642e-239,5.81496337460405e-238
"STEC vs EIEC",2.70425720885911e-48,9.91560976581673e-48
"STEC vs ETEC.STEC",2.83888594222904e-75,1.56138726822597e-74
"STEC vs ETEC.EPEC",3.10454477856478e-08,5.69166542736876e-08
"STEC vs ND",9.90753844468973e-05,0.000150321272953913
"STEC vs ETEC.EHEC",1.90946510969975e-16,4.94214498981112e-16
"ETEC vs EIEC",0.0411367270376462,0.0524889907605421
"ETEC vs ETEC.STEC",0.00234136270654565,0.00332322448670996
"ETEC vs ETEC.EPEC",0.175720108112552,0.20346538834085
"ETEC vs ND",7.17282495681977e-86,4.508632830001e-85
"ETEC vs ETEC.EHEC",0.0438355287008271,0.0535767573010109
"EIEC vs ETEC.STEC",0.594515587669275,0.594515587669275
"EIEC vs ETEC.EPEC",0.377327399124359,0.395295370511234
"EIEC vs ND",1.2431740798802e-27,3.41872871967056e-27
"EIEC vs ETEC.EHEC",0.188099300427003,0.212214595353542
"ETEC.STEC vs ETEC.EPEC",0.446196503703636,0.456573166580465
"ETEC.STEC vs ND",1.74442622429855e-41,5.90421183608741e-41
"ETEC.STEC vs ETEC.EHEC",0.256040155590329,0.281644171149361
"ETEC.EPEC vs ND",7.06465560354982e-06,1.11016016627211e-05
"ETEC.EPEC vs ETEC.EHEC",NA,NA
"ND vs ETEC.EHEC",5.09872531594133e-11,1.06830435191152e-10
