"Comparison","P_value","Adjusted_P_value"
"E vs B1",0,0
"E vs B2",0,0
"E vs A",0,0
"E vs D",1.35117929556717e-70,1.87086364001609e-70
"E vs G",0,0
"E vs C",0,0
"E vs F",0,0
"E vs cladeI",6.44688128875119e-144,1.16043863197521e-143
"B1 vs B2",0,0
"B1 vs A",0,0
"B1 vs D",4.61692561158317e-111,7.55496918259064e-111
"B1 vs G",0,0
"B1 vs C",6.43935414737878e-74,9.27266997222544e-74
"B1 vs F",4.7132908121336e-49,6.05994532988606e-49
"B1 vs cladeI",4.17012886073646e-40,5.17671168919009e-40
"B2 vs A",9.87785948090058e-210,2.37068627541614e-209
"B2 vs D",0,0
"B2 vs G",3.7909662019303e-06,4.01396421380855e-06
"B2 vs C",0,0
"B2 vs F",0,0
"B2 vs cladeI",3.53591050478394e-14,4.10621865071683e-14
"A vs D",0,0
"A vs G",7.55179074875446e-55,1.00690543316726e-54
"A vs C",8.64814345449675e-129,1.48253887791373e-128
"A vs F",4.03689752878381e-102,6.31862221896596e-102
"A vs cladeI",0.534035555900659,0.549293714640677
"D vs G",0,0
"D vs C",1.17003569485731e-196,2.63258031342895e-196
"D vs F",1.27499186206218e-144,2.41577405443359e-144
"D vs cladeI",3.15286284452875e-79,4.72929426679313e-79
"G vs C",9.2882531760849e-159,1.96692420199445e-158
"G vs F",1.9892866381441e-150,3.9785732762882e-150
"G vs cladeI",2.33504514129302e-20,2.80205416955162e-20
"C vs F",0.596762435129435,0.596762435129435
"C vs cladeI",1.0598279744671e-11,1.15617597214592e-11
"F vs cladeI",4.75587003464759e-12,5.35035378897854e-12
