"Comparison","P_value","Adjusted_P_value"
"Companion Animal vs Environment",0.242985553744419,0.283483146035155
"Companion Animal vs Food",0.570067133316712,0.595921547238583
"Companion Animal vs Human",2.96439721218247e-08,5.18769512131932e-08
"Companion Animal vs Livestock",3.55043956952448e-21,9.31990387000176e-21
"Companion Animal vs Poultry",4.65305067430308e-53,2.44285160400912e-52
"Companion Animal vs Wild Animal",0.187550534326333,0.231680071814882
"Environment vs Food",0.089908130245454,0.118004420947158
"Environment vs Human",1.71872798325734e-15,3.60932876484042e-15
"Environment vs Livestock",1.05775356017696e-18,2.46809164041292e-18
"Environment vs Poultry",7.09431443845681e-49,2.97961206415186e-48
"Environment vs Wild Animal",0.595921547238583,0.595921547238583
"Food vs Human",2.37239056720225e-05,3.55858585080337e-05
"Food vs Livestock",6.52973790744341e-22,1.95892137223302e-21
"Food vs Poultry",1.33488771283551e-53,9.34421398984854e-53
"Food vs Wild Animal",0.0887370410917888,0.118004420947158
"Human vs Livestock",1.59300444321347e-63,1.67265466537414e-62
"Human vs Poultry",1.75574307319773e-211,3.68706045371524e-210
"Human vs Wild Animal",6.10036221985591e-07,9.85443127822878e-07
"Livestock vs Poultry",0.347139743295129,0.383680768905142
"Livestock vs Wild Animal",2.2070980893437e-12,4.21355089783796e-12
"Poultry vs Wild Animal",1.03817532035744e-30,3.63361362125104e-30
