"Comparison","P_value","Adjusted_P_value"
"Human vs Livestock",0,0
"Human vs Environment",1.24775795044096e-69,5.27897594417327e-69
"Human vs Poultry",6.63363497669156e-07,9.8608087491361e-07
"Human vs Food",1.22166883673615e-45,3.73287700113825e-45
"Human vs Companion Animal",0,0
"Human vs ND",8.30526122042622e-10,1.34349813859836e-09
"Human vs Laboratory",1.82939230930698e-67,7.1868983579917e-67
"Human vs Aquatic",0.760981096945955,0.775073339481992
"Human vs Wild Animal",1.47317747786207e-12,2.61370197685205e-12
"Human vs Animal Feed",3.32294216092939e-06,4.8095215487136e-06
"Livestock vs Environment",9.04907050107811e-19,1.84332917614554e-18
"Livestock vs Poultry",3.26058749791358e-307,2.98887187308745e-306
"Livestock vs Food",0.000343520251028438,0.000439386367594514
"Livestock vs Companion Animal",0,0
"Livestock vs ND",0.000199325971091449,0.000267388497805603
"Livestock vs Laboratory",1.57877435456709e-15,3.10116391075679e-15
"Livestock vs Aquatic",2.32807956010859e-19,5.1217750322389e-19
"Livestock vs Wild Animal",4.7081930630069e-56,1.72633745643586e-55
"Livestock vs Animal Feed",0.115978806309472,0.12757668694042
"Environment vs Poultry",2.82888484781767e-77,1.41444242390884e-76
"Environment vs Food",0.0220400804027782,0.0257915834500596
"Environment vs Companion Animal",0,0
"Environment vs ND",0.856030551177849,0.856030551177849
"Environment vs Laboratory",4.07115419201434e-27,1.01778854800359e-26
"Environment vs Aquatic",9.07197188866192e-08,1.42559558250402e-07
"Environment vs Wild Animal",7.2017091899162e-11,1.23779376701685e-10
"Environment vs Animal Feed",0.00895019603842424,0.0109391284914074
"Poultry vs Food",3.35148434642263e-54,1.15207274408278e-53
"Poultry vs Companion Animal",2.06180734821235e-287,1.61999148788113e-286
"Poultry vs ND",5.23938812602894e-13,9.60554489771972e-13
"Poultry vs Laboratory",6.44194641328306e-75,2.95255877275473e-74
"Poultry vs Aquatic",0.172064764195694,0.181991577514677
"Poultry vs Wild Animal",1.24991959877377e-19,2.86439908052322e-19
"Poultry vs Animal Feed",4.4060597530667e-07,6.73148017829634e-07
"Food vs Companion Animal",0,0
"Food vs ND",0.141259592417303,0.152338776136307
"Food vs Laboratory",1.23279438037517e-19,2.86439908052322e-19
"Food vs Aquatic",3.70056996065219e-10,6.16761660108698e-10
"Food vs Wild Animal",3.43820738755595e-13,6.52073814881301e-13
"Food vs Animal Feed",0.0308398477269584,0.0346161556118921
"Companion Animal vs ND",1.98348016700053e-107,1.09091409185029e-106
"Companion Animal vs Laboratory",5.56010009858619e-255,3.39783894913601e-254
"Companion Animal vs Aquatic",1.11581698700337e-46,3.60999613442267e-46
"Companion Animal vs Wild Animal",2.70550504419753e-281,1.8600347178858e-280
"Companion Animal vs Animal Feed",1.04590739307899e-28,2.73928126758784e-28
"ND vs Laboratory",3.36309685714722e-19,7.11424335165758e-19
"ND vs Aquatic",7.59311192804479e-05,0.000104405289010616
"ND vs Wild Animal",0.00268229641187649,0.00335287051484561
"ND vs Animal Feed",0.00991522021904023,0.011855154609722
"Laboratory vs Aquatic",1.7525788301827e-37,4.81959178300243e-37
"Laboratory vs Wild Animal",1.83556684088788e-42,5.31348296046491e-42
"Laboratory vs Animal Feed",0.215275033545918,0.223398619717462
"Aquatic vs Wild Animal",0.0254528982422296,0.0291647792358881
"Aquatic vs Animal Feed",1.74989702491361e-05,2.46780349667304e-05
"Wild Animal vs Animal Feed",0.000249931277883882,0.000327290959133654
