"Comparison","P_value","Adjusted_P_value"
"Human vs Livestock",3.82485031436459e-22,1.23745157229442e-21
"Human vs Environment",0.018536067266305,0.0237089232475994
"Human vs Poultry",4.96232238599687e-79,2.48116119299843e-78
"Human vs Food",2.73941543216582e-11,6.84853858041454e-11
"Human vs Companion Animal",1.26272828975287e-12,3.44404576713505e-12
"Human vs ND",0.875089546499378,0.891294908471589
"Human vs Laboratory",0,0
"Human vs Aquatic",6.81235091875635e-05,0.000129199758804
"Human vs Wild Animal",0.000522786027898287,0.000927523597884058
"Human vs Animal Feed",0.0321636888124506,0.0393111752152173
"Livestock vs Environment",7.01896859637158e-15,2.14468484889132e-14
"Livestock vs Poultry",1.53974138802941e-122,9.40953070462418e-122
"Livestock vs Food",0.011884195921054,0.0159422140404382
"Livestock vs Companion Animal",0.0156752100053953,0.020527060721351
"Livestock vs ND",0.0203124661513408,0.025390582689176
"Livestock vs Laboratory",0,0
"Livestock vs Aquatic",1.05764206998142e-08,2.32681255395912e-08
"Livestock vs Wild Animal",0.191179746220073,0.214589511063347
"Livestock vs Animal Feed",0.0025696556779305,0.00381975844016695
"Environment vs Poultry",1.82775171515629e-25,6.28289652084976e-25
"Environment vs Food",1.31499929290611e-12,3.44404576713505e-12
"Environment vs Companion Animal",1.47915201513874e-13,4.28175583329636e-13
"Environment vs ND",0.509210950447707,0.560132045492477
"Environment vs Laboratory",1.21345833329329e-275,1.11233680551885e-274
"Environment vs Aquatic",0.00140785541926079,0.00221234423026695
"Environment vs Wild Animal",1.22038425727075e-05,2.39718336249611e-05
"Environment vs Animal Feed",0.0734640799655125,0.0859686042149614
"Poultry vs Food",1.43422616081934e-52,5.63445991750456e-52
"Poultry vs Companion Animal",4.62165551398704e-61,2.11825877724406e-60
"Poultry vs ND",5.41264801368678e-07,1.14498323366451e-06
"Poultry vs Laboratory",1.13344142888622e-218,8.90561122696315e-218
"Poultry vs Aquatic",0.808497500261861,0.85514158681543
"Poultry vs Wild Animal",2.92716925416951e-42,1.07329539319549e-41
"Poultry vs Animal Feed",0.951162019973635,0.951162019973635
"Food vs Companion Animal",0.777859254284646,0.838867823248148
"Food vs ND",0.000823771273120563,0.00137295212186761
"Food vs Laboratory",1.21349754391272e-300,1.66855912287998e-299
"Food vs Aquatic",1.78067681075815e-10,4.25814019963906e-10
"Food vs Wild Animal",0.00294925128095849,0.00426865316980834
"Food vs Animal Feed",0.000434187118432454,0.000796009717126166
"Companion Animal vs ND",0.00115381342148919,0.0018664628877031
"Companion Animal vs Laboratory",0,0
"Companion Animal vs Aquatic",2.23806202899831e-10,5.12889214978779e-10
"Companion Animal vs Wild Animal",0.00393225039177603,0.00554548132173543
"Companion Animal vs Animal Feed",0.000547131849097012,0.00094038286563549
"ND vs Laboratory",9.34594582252509e-174,6.425337752986e-173
"ND vs Aquatic",0.00252784677286456,0.00381975844016695
"ND vs Wild Animal",0.111892011344932,0.128209596332734
"ND vs Animal Feed",0.0529398701233973,0.0632976707997142
"Laboratory vs Aquatic",1.98720758548314e-116,1.09296417201573e-115
"Laboratory vs Wild Animal",4.13467487581715e-293,4.54814236339886e-292
"Laboratory vs Animal Feed",2.33671763170362e-58,9.88611305720761e-58
"Aquatic vs Wild Animal",6.55335323180561e-07,1.33494232499744e-06
"Aquatic vs Animal Feed",0.86995434501757,0.891294908471589
"Wild Animal vs Animal Feed",0.0063139523880551,0.00868168453357576
