ST	n
ST10	480
ST100	1
ST10042	1
ST10064	1
ST10087	1
ST101	89
ST10102	2
ST1011	8
ST10122	1
ST10136	1
ST10137	1
ST10196	1
ST10199	1
ST10207	1
ST10210	1
ST10211	1
ST10212	1
ST10213	1
ST10214	1
ST10215	1
ST10217	1
ST10218	1
ST10219	1
ST10220	1
ST10221	1
ST10222	2
ST10223	1
ST10224	1
ST10225	1
ST10226	1
ST10227	1
ST10228	1
ST10229	1
ST10230	1
ST10231	1
ST10232	1
ST10234	1
ST10235	1
ST10236	1
ST10237	2
ST10238	1
ST10239	1
ST10240	1
ST10241	1
ST10242	1
ST10243	2
ST10244	1
ST10245	1
ST10246	1
ST10247	1
ST10248	1
ST10249	1
ST10250	1
ST10251	1
ST10252	3
ST10253	1
ST10254	1
ST10255	1
ST10256	1
ST10257	1
ST10258	1
ST10259	1
ST10260	1
ST10261	1
ST10262	1
ST10263	1
ST10264	1
ST10265	1
ST10266	1
ST10267	1
ST10268	1
ST10269	1
ST10270	1
ST10271	2
ST10272	1
ST10273	1
ST10274	1
ST10275	1
ST10276	1
ST10277	1
ST10278	1
ST10279	1
ST10280	1
ST10281	1
ST10283	1
ST10284	1
ST10285	1
ST10286	1
ST10287	1
ST10288	2
ST10289	1
ST10290	1
ST10291	1
ST10292	1
ST10293	1
ST10294	1
ST10295	1
ST10296	1
ST10297	1
ST10298	1
ST10299	1
ST10308	1
ST10313	2
ST10315	1
ST10318	1
ST10320	7
ST10325	1
ST10327	1
ST104	12
ST10401	1
ST10402	1
ST10403	1
ST10404	1
ST10405	1
ST10406	1
ST10407	1
ST10408	1
ST10409	1
ST10410	1
ST10411	1
ST10412	1
ST10413	1
ST10414	1
ST10415	1
ST10428	1
ST10440	1
ST10445	1
ST10462	1
ST10472	4
ST1049	8
ST10491	1
ST10512	1
ST10538	1
ST1056	4
ST1057	35
ST106	11
ST1060	4
ST10607	1
ST1064	2
ST10651	2
ST1068	1
ST10704	1
ST10707	1
ST10708	1
ST1072	4
ST10743	1
ST10744	1
ST10745	1
ST10746	1
ST10747	1
ST10748	1
ST10749	1
ST10750	1
ST10763	1
ST10765	1
ST10767	2
ST1079	7
ST10795	1
ST108	4
ST1080	1
ST10801	2
ST1081	6
ST10829	1
ST1083	4
ST10836	4
ST1084	1
ST10840	2
ST10841	2
ST10843	2
ST10845	1
ST1086	1
ST10886	1
ST109	3
ST1091	1
ST10936	1
ST10939	1
ST10944	1
ST10951	2
ST10955	2
ST10976	1
ST10992	1
ST1101	1
ST11021	7
ST11024	2
ST11028	1
ST11053	1
ST11091	1
ST11093	1
ST111	2
ST11106	1
ST11114	1
ST1112	2
ST11120	2
ST11130	1
ST11131	1
ST11141	1
ST11142	1
ST11158	1
ST11159	1
ST11162	1
ST11163	1
ST11164	1
ST11166	1
ST11167	1
ST11168	1
ST11169	1
ST1117	1
ST11179	1
ST1119	3
ST1121	3
ST11215	1
ST1122	5
ST11225	1
ST1123	4
ST11240	1
ST11249	1
ST1125	8
ST11250	1
ST11258	1
ST1126	4
ST11263	1
ST11264	1
ST11265	1
ST11270	1
ST11271	1
ST11273	1
ST1128	1
ST113	1
ST11328	1
ST11342	1
ST1136	4
ST1137	2
ST1139	1
ST1140	1
ST1141	2
ST11427	1
ST11428	1
ST11429	1
ST11439	1
ST11443	2
ST1146	2
ST11463	1
ST1147	3
ST1148	3
ST11491	2
ST11495	1
ST115	1
ST1152	1
ST11538	1
ST1154	4
ST1155	3
ST1156	2
ST1158	1
ST1159	6
ST11594	1
ST11605	1
ST1161	8
ST1162	1
ST1163	6
ST11637	1
ST1167	2
ST11672	3
ST11679	2
ST11681	3
ST117	168
ST1170	11
ST1172	3
ST11741	1
ST11757	1
ST11758	1
ST11759	1
ST11760	1
ST11761	1
ST11762	1
ST11764	1
ST11765	1
ST11766	1
ST1177	11
ST11770	1
ST11771	2
ST11772	1
ST11773	1
ST11774	1
ST11776	1
ST11777	2
ST1178	3
ST118	1
ST11800	1
ST11802	1
ST11804	2
ST11806	1
