"Comparison","P_value","Adjusted_P_value"
"EPEC vs No",8.24734183970748e-09,1.37455697328458e-08
"EPEC vs EHEC",6.33358137694968e-293,9.50037206542452e-292
"EPEC vs STEC",1.41052387770262e-170,1.58683936241545e-169
"EPEC vs ETEC",1.19016455025075e-07,1.78524682537613e-07
"EPEC vs EIEC",4.6767211711863e-07,6.01292722009668e-07
"EPEC vs ETEC.STEC",2.11389407521656e-17,5.59560196380853e-17
"EPEC vs ETEC.EPEC",3.66482578607975e-07,4.85050471687026e-07
"EPEC vs ND",0.0511753417890732,0.0535555902443789
"EPEC vs ETEC.EHEC",9.93425368701605e-10,1.78816566366289e-09
"No vs EHEC",0,0
"No vs STEC",0,0
"No vs ETEC",3.3146730641831e-25,1.06543062777314e-24
"No vs EIEC",4.50586100093806e-12,9.21653386555511e-12
"No vs ETEC.STEC",1.15740192173183e-12,2.48014697513964e-12
"No vs ETEC.EPEC",2.88638329660717e-06,3.60797912075896e-06
"No vs ND",0.806435709846918,0.806435709846918
"No vs ETEC.EHEC",4.17465146608704e-08,6.47790744737644e-08
"EHEC vs STEC",9.83435443954859e-11,1.92411282512907e-10
"EHEC vs ETEC",6.55059885008095e-87,4.91294913756071e-86
"EHEC vs EIEC",3.11144909486879e-08,5.00054318818199e-08
"EHEC vs ETEC.STEC",6.23506521345257e-107,5.61155869210731e-106
"EHEC vs ETEC.EPEC",3.15245238733847e-19,8.86627233938944e-19
"EHEC vs ND",1.2563158507838e-48,6.28157925391898e-48
"EHEC vs ETEC.EHEC",1.38880832599742e-32,5.68148860635307e-32
"STEC vs ETEC",3.31252381555882e-51,1.86329464625183e-50
"STEC vs EIEC",7.22427314664848e-05,8.3356997845944e-05
"STEC vs ETEC.STEC",3.61883424201481e-84,2.32639344129523e-83
"STEC vs ETEC.EPEC",1.36124703550171e-16,3.40311758875428e-16
"STEC vs ND",6.84438125209492e-36,3.07997156344271e-35
"STEC vs ETEC.EHEC",1.77270695871016e-27,6.64765109516308e-27
"ETEC vs EIEC",0.0153613800181333,0.016458621448
"ETEC vs ETEC.STEC",1.50570316640365e-26,5.21204942216647e-26
"ETEC vs ETEC.EPEC",6.74273547946714e-09,1.16701190990777e-08
"ETEC vs ND",7.68278755975816e-06,9.09803789971361e-06
"ETEC vs ETEC.EHEC",7.33813907491876e-13,1.65108129185672e-12
"EIEC vs ETEC.STEC",1.12722713515933e-23,3.381681405478e-23
"EIEC vs ETEC.EPEC",2.13260522501806e-10,3.99863479690887e-10
"EIEC vs ND",1.69267113367087e-07,2.45710325855448e-07
"EIEC vs ETEC.EHEC",1.069014764042e-14,2.53187707273106e-14
"ETEC.STEC vs ETEC.EPEC",0.00156677657109709,0.00176262364248422
"ETEC.STEC vs ND",2.91141782904943e-07,4.09418132210077e-07
"ETEC.STEC vs ETEC.EHEC",0.00473816740141386,0.00520042763569814
"ETEC.EPEC vs ND",5.84573338348701e-06,7.10967573667339e-06
"ETEC.EPEC vs ETEC.EHEC",0.0705237901358889,0.0721266035480682
"ND vs ETEC.EHEC",3.02491412033579e-07,4.12488289136698e-07
