"Comparison","P_value","Adjusted_P_value"
"EPEC vs No",0.0011552942905608,0.00144411786320101
"EPEC vs EHEC",2.58925608882921e-298,3.88388413324381e-297
"EPEC vs STEC",4.28748538895965e-201,4.82342106257961e-200
"EPEC vs ETEC",0.837255542850834,0.856284077915626
"EPEC vs EIEC",1.11257315428833e-20,3.57612799592679e-20
"EPEC vs ETEC.STEC",8.77462850146333e-09,1.51868570217635e-08
"EPEC vs ETEC.EPEC",0.000810021427717375,0.00104145612135091
"EPEC vs ND",0.000458920287456328,0.000625800391985902
"EPEC vs ETEC.EHEC",2.080656461881e-16,5.20164115470251e-16
"No vs EHEC",0,0
"No vs STEC",0,0
"No vs ETEC",0.0151916430847191,0.0170905984703089
"No vs EIEC",9.84006934723367e-26,3.4061778509655e-25
"No vs ETEC.STEC",7.61189558584523e-07,1.14178433787678e-06
"No vs ETEC.EPEC",0.00229115748210068,0.00271321280775081
"No vs ND",2.65213941778686e-06,3.84987980001319e-06
"No vs ETEC.EHEC",4.94202494109878e-15,1.01086873795202e-14
"EHEC vs STEC",0.0424472236366137,0.0465884161865272
"EHEC vs ETEC",6.55153109295926e-151,5.89637798366333e-150
"EHEC vs EIEC",0.965638131890431,0.965638131890431
"EHEC vs ETEC.STEC",1.64578749070752e-95,1.05800624402626e-94
"EHEC vs ETEC.EPEC",1.33053868087999e-15,2.85115431617141e-15
"EHEC vs ND",4.24860339271169e-19,1.19491970420016e-18
"EHEC vs ETEC.EHEC",1.52391666092764e-55,7.6195833046382e-55
"STEC vs ETEC",4.37778271313142e-115,3.28333703484856e-114
"STEC vs EIEC",0.627521883496024,0.656708947844676
"STEC vs ETEC.STEC",3.55040786639131e-83,1.99710442484511e-82
"STEC vs ETEC.EPEC",1.45397044338283e-14,2.84472478053162e-14
"STEC vs ND",4.87914211404695e-16,1.09780697566056e-15
"STEC vs ETEC.EHEC",1.29021446763917e-51,5.80596510437627e-51
"ETEC vs EIEC",5.79029534474479e-19,1.5327252383148e-18
"ETEC vs ETEC.STEC",3.10494515478231e-08,4.99009042732871e-08
"ETEC vs ETEC.EPEC",0.00076598347622829,0.00101380165971391
"ETEC vs ND",0.00129081446913319,0.00156990948948632
"ETEC vs ETEC.EHEC",3.1359177415575e-16,7.42717359842565e-16
"EIEC vs ETEC.STEC",1.09632663136959e-29,4.11122486763598e-29
"EIEC vs ETEC.EPEC",1.88475028526896e-12,3.53390678487931e-12
"EIEC vs ND",1.27275296015161e-07,1.97496148989043e-07
"EIEC vs ETEC.EHEC",4.09060858790334e-34,1.67343078596046e-33
"ETEC.STEC vs ETEC.EPEC",0.106641629928142,0.114258889208723
"ETEC.STEC vs ND",8.49911514568111e-12,1.5298407262226e-11
"ETEC.STEC vs ETEC.EHEC",2.91333023632603e-08,4.85555039387671e-08
"ETEC.EPEC vs ND",1.60838825089267e-05,2.26179597781782e-05
"ETEC.EPEC vs ETEC.EHEC",0.0103140296473192,0.0119008034392145
"ND vs ETEC.EHEC",1.23522802118145e-19,3.70568406354434e-19
