"Comparison","P_value","Adjusted_P_value"
"IPEC vs ND",0,0
"IPEC vs ExPEC",0,0
"IPEC vs Non Pathogen",4.11583301218221e-11,1.44054155426377e-10
"IPEC vs Healthy-Community",2.13328467964248e-30,1.19463942059979e-29
"IPEC vs Mixed",4.68961915218506e-17,1.87584766087403e-16
"IPEC vs Pathogen",1.2407703862582e-28,5.79026180253826e-28
"IPEC vs Clinical",5.11168726894805e-78,4.77090811768484e-77
"ND vs ExPEC",1.10216355987751e-64,7.71514491914257e-64
"ND vs Non Pathogen",0.90420251212333,0.948083518689293
"ND vs Healthy-Community",0.948083518689293,0.948083518689293
"ND vs Mixed",0.0139836773769207,0.0355948151412527
"ND vs Pathogen",0.166521627571818,0.245400293263732
"ND vs Clinical",0.00383779515388749,0.010745826430885
"ExPEC vs Non Pathogen",0.0737969628099409,0.1494352008561
"ExPEC vs Healthy-Community",0.001042478080908,0.00324326514060268
"ExPEC vs Mixed",0.417258606161064,0.507966998804774
"ExPEC vs Pathogen",0.153950714349361,0.240046982824721
"ExPEC vs Clinical",0.0973152671293442,0.170301717476352
"Non Pathogen vs Healthy-Community",0.94221591497769,0.948083518689293
"Non Pathogen vs Mixed",0.0747176004280499,0.1494352008561
"Non Pathogen vs Pathogen",0.498895880436673,0.582045193842786
"Non Pathogen vs Clinical",0.316023998029298,0.402212361128197
"Healthy-Community vs Mixed",0.0292912340018528,0.0683462126709899
"Healthy-Community vs Pathogen",0.306860428220624,0.402212361128197
"Healthy-Community vs Clinical",0.0952025959388079,0.170301717476352
"Mixed vs Pathogen",0.154315917530178,0.240046982824721
"Mixed vs Clinical",0.181573765318384,0.254203271445738
"Pathogen vs Clinical",0.735811148730255,0.824108486577886
