"Comparison","P_value","Adjusted_P_value"
"Human vs Livestock",4.50659815519459e-142,2.43356300380508e-140
"Human vs Environment",1.6434075958499e-25,1.77488020351789e-24
"Human vs Poultry",1.5704136999657e-79,4.24011698990739e-78
"Human vs Food",4.88877532770649e-20,2.9332651966239e-19
"Human vs Companion Animal",3.9665360046888e-25,3.56988240421992e-24
"Human vs ND",0.000294530625421188,0.000837087040670745
"Human vs Laboratory",4.90292212869772e-10,2.40688904499706e-09
"Human vs Aquatic",0.000319757969059205,0.000863346516459854
"Human vs Wild Animal",1.09560178476604e-25,1.47906240943416e-24
"Human vs Animal Feed",0.0582469128794257,0.108459768809965
"Livestock vs Environment",4.13021781027785e-33,7.43439205850012e-32
"Livestock vs Poultry",0.472018584960565,0.592767525299315
"Livestock vs Food",0.102723349533251,0.184902029159852
"Livestock vs Companion Animal",0.0356488207670705,0.0712976415341409
"Livestock vs ND",2.35767571003427e-22,1.81877840488358e-21
"Livestock vs Laboratory",0.627617180921973,0.744009745127513
"Livestock vs Aquatic",0.00694939102706637,0.0150106846184634
"Livestock vs Wild Animal",1.88002745239719e-06,8.46012353578735e-06
"Livestock vs Animal Feed",0.882835539056962,0.93476704135443
"Environment vs Poultry",2.14461002037506e-20,1.44761176375316e-19
"Environment vs Food",3.02060305647807e-05,0.00010874171003321
"Environment vs Companion Animal",4.02243492227378e-06,1.67085758309834e-05
"Environment vs ND",0.970490707583964,0.970490707583964
"Environment vs Laboratory",0.00191331175747403,0.00449212325667815
"Environment vs Aquatic",0.163790750157567,0.268021227530565
"Environment vs Wild Animal",0.000108270571119248,0.000343918284731729
"Environment vs Animal Feed",0.344855377524046,0.465294605272942
"Poultry vs Food",0.0406154223568034,0.0783297431166922
"Poultry vs Companion Animal",0.0168271255629807,0.0349486454000368
"Poultry vs ND",2.86953048462446e-18,1.54954646169721e-17
"Poultry vs Laboratory",0.743197071071554,0.853665118367418
"Poultry vs Aquatic",0.000871718210315092,0.00224156111223881
"Poultry vs Wild Animal",1.65551983278011e-05,6.38557649786612e-05
"Poultry vs Animal Feed",0.921084203950962,0.956510519487537
"Food vs Companion Animal",0.867010086670362,0.93476704135443
"Food vs ND",0.000203543020367392,0.000610629061102177
"Food vs Laboratory",0.348978708180377,0.465294605272942
"Food vs Aquatic",0.353279237336863,0.465294605272942
"Food vs Wild Animal",0.174346726215509,0.276903623989338
"Food vs Animal Feed",0.776327316689839,0.855544389821455
"Companion Animal vs ND",9.2820810829259e-05,0.000313270236548749
"Companion Animal vs Laboratory",0.311971133538392,0.455309221920896
"Companion Animal vs Aquatic",0.403604266563362,0.518919771295752
"Companion Animal vs Wild Animal",0.182079316887822,0.280922374626925
"Companion Animal vs Animal Feed",0.758813438548816,0.853665118367418
"ND vs Laboratory",0.00178933747831531,0.00439201017404667
"ND vs Aquatic",0.187360486610571,0.281040729915857
"ND vs Wild Animal",0.00572173177764042,0.0128738964996909
"ND vs Animal Feed",0.34182978871883,0.465294605272942
"Laboratory vs Aquatic",0.107580740513919,0.187398709282311
"Laboratory vs Wild Animal",0.117201464106164,0.197777470679152
"Laboratory vs Animal Feed",NA,NA
"Aquatic vs Wild Animal",0.958202815077144,0.970490707583964
"Aquatic vs Animal Feed",0.626551419321441,0.744009745127513
"Wild Animal vs Animal Feed",0.633786079182697,0.744009745127513
