"Comparison","P_value","Adjusted_P_value"
"Human vs Livestock",0,0
"Human vs Environment",7.10666975046409e-220,4.34296484750583e-219
"Human vs Poultry",3.24984199295452e-89,1.19160873074999e-88
"Human vs Food",8.63658860700903e-98,3.65394133373459e-97
"Human vs Companion Animal",1.48438751400018e-205,8.16413132700098e-205
"Human vs ND",4.94357972508202e-35,1.13290368699796e-34
"Human vs Laboratory",3.90777830525996e-139,1.95388915262998e-138
"Human vs Aquatic",1.57135467762948e-08,2.4692716362749e-08
"Human vs Wild Animal",8.96941056688325e-92,3.52369700841842e-91
"Human vs Animal Feed",1.79412905987147e-11,2.90226759685091e-11
"Livestock vs Environment",2.51043749044872e-33,5.52296247898718e-33
"Livestock vs Poultry",1.2047905541659e-281,8.28293505989054e-281
"Livestock vs Food",1.42855698349354e-20,2.70933221007396e-20
"Livestock vs Companion Animal",0,0
"Livestock vs ND",0.000778275035968119,0.000951225043961035
"Livestock vs Laboratory",1.43450244211507e-19,2.62992114387763e-19
"Livestock vs Aquatic",2.1863462252695e-17,3.87900136741362e-17
"Livestock vs Wild Animal",5.10194311117958e-61,1.65062865361692e-60
"Livestock vs Animal Feed",0.160587499623901,0.169852163063742
"Environment vs Poultry",3.3787819347081e-51,9.78068454783924e-51
"Environment vs Food",0.629150941968919,0.629150941968919
"Environment vs Companion Animal",0,0
"Environment vs ND",0.223049464371333,0.22718001000784
"Environment vs Laboratory",4.79162594619924e-38,1.19790648654981e-37
"Environment vs Aquatic",7.60397979401102e-05,0.000107235612479643
"Environment vs Wild Animal",6.73338526366711e-07,1.0287116375047e-06
"Environment vs Animal Feed",0.00423748226557263,0.00495875584269137
"Poultry vs Food",1.48890790224138e-25,3.0329605416028e-25
"Poultry vs Companion Animal",0,0
"Poultry vs ND",9.38268251291685e-13,1.56378041881947e-12
"Poultry vs Laboratory",4.69661174515202e-81,1.61446028739601e-80
"Poultry vs Aquatic",0.198101332350377,0.205576854325863
"Poultry vs Wild Animal",4.75536322447759e-14,8.17328054207085e-14
"Poultry vs Animal Feed",1.02962348816978e-06,1.53052140133346e-06
"Food vs Companion Animal",1.73633996901801e-287,1.36426711851415e-286
"Food vs ND",0.159157366275859,0.169852163063742
"Food vs Laboratory",1.85996340236176e-36,4.44773857086509e-36
"Food vs Aquatic",0.000439808381890199,0.000549760477362749
"Food vs Wild Animal",0.000356634176882029,0.000456159993686316
"Food vs Animal Feed",0.00335795009925214,0.00401494033606234
"Companion Animal vs ND",8.18825360270964e-123,3.75294956790858e-122
"Companion Animal vs Laboratory",1.47919172001093e-292,1.35592574334335e-291
"Companion Animal vs Aquatic",7.18765259761543e-55,2.19622718260472e-54
"Companion Animal vs Wild Animal",2.45668208451879e-298,2.70235029297067e-297
"Companion Animal vs Animal Feed",3.59225594355104e-32,7.59900295751182e-32
"ND vs Laboratory",1.11155651785722e-21,2.18341458864811e-21
"ND vs Aquatic",8.89918510873318e-05,0.000122363795245081
"ND vs Wild Animal",0.000344082263065722,0.000450583915919398
"ND vs Animal Feed",0.0184829891768352,0.021178425098457
"Laboratory vs Aquatic",2.68701589832005e-40,7.03742259083822e-40
"Laboratory vs Wild Animal",6.82906427534086e-51,1.87799267571874e-50
"Laboratory vs Animal Feed",0.0501083727502055,0.0562440918624756
"Aquatic vs Wild Animal",0.0944053485943246,0.103845883453757
"Aquatic vs Animal Feed",3.76687602023693e-05,5.45205739771135e-05
"Wild Animal vs Animal Feed",0.00022700724122556,0.000304521908961117
