"Comparison","P_value","Adjusted_P_value"
"Human vs Livestock",2.26244247975995e-143,1.22171893907037e-141
"Human vs Environment",1.07820879222524e-25,1.16446549560326e-24
"Human vs Poultry",4.79286844222463e-80,1.29407447940065e-78
"Human vs Food",2.75152612479701e-20,2.09670776890437e-19
"Human vs Companion Animal",1.47749704592669e-24,1.32974734133402e-23
"Human vs ND",0.000253000410995444,0.000759001232986333
"Human vs Laboratory",3.79478621239642e-10,1.86289504972188e-09
"Human vs Aquatic",0.000288672339772872,0.000820437176196583
"Human vs Wild Animal",4.84959450238047e-26,6.54695257821364e-25
"Human vs Animal Feed",0.0566456261864378,0.109245136216702
"Livestock vs Environment",7.39952898242513e-33,1.33191521683652e-31
"Livestock vs Poultry",0.706418082625646,0.77850156044459
"Livestock vs Food",0.169954821106807,0.276903623989338
"Livestock vs Companion Animal",0.00163962958599678,0.00420105320995768
"Livestock vs ND",3.10623373171018e-20,2.09670776890437e-19
"Livestock vs Laboratory",0.587565928015729,0.737873490996497
"Livestock vs Aquatic",0.0162783263779494,0.0325566527558988
"Livestock vs Wild Animal",8.29318721732599e-06,3.73193424779669e-05
"Livestock vs Animal Feed",0.869077034256901,0.920199212742601
"Environment vs Poultry",5.20681905018212e-20,3.12409143010927e-19
"Environment vs Food",2.40513308031212e-05,9.27694188120387e-05
"Environment vs Companion Animal",2.34916764249905e-05,9.27694188120387e-05
"Environment vs ND",0.992902771928684,0.992902771928684
"Environment vs Laboratory",0.00172199348762065,0.00420105320995768
"Environment vs Aquatic",0.156519925897901,0.264127374952707
"Environment vs Wild Animal",8.09276698178773e-05,0.000291339611344358
"Environment vs Animal Feed",0.340045753515862,0.476926970404766
"Poultry vs Food",0.127083963754359,0.221372065894689
"Poultry vs Companion Animal",0.00326936926209913,0.00735608083972305
"Poultry vs ND",7.45736267142702e-16,4.02697584257059e-15
"Poultry vs Laboratory",0.643012721379495,0.754841020749842
"Poultry vs Aquatic",0.00930564152757215,0.0193271016341883
"Poultry vs Wild Animal",9.67094462058863e-05,0.000326394380944866
"Poultry vs Animal Feed",0.888190142420785,0.922351301744662
"Food vs Companion Animal",0.419090426481301,0.55197275682903
"Food vs ND",0.000203543020367392,0.000646548417637599
"Food vs Laboratory",0.348978708180377,0.476926970404766
"Food vs Aquatic",0.353279237336863,0.476926970404766
"Food vs Wild Animal",0.174346726215509,0.276903623989338
"Food vs Animal Feed",0.776327316689839,0.838433502025026
"Companion Animal vs ND",0.00111596736450955,0.00301311188417579
"Companion Animal vs Laboratory",0.191674747102101,0.287512120653151
"Companion Animal vs Aquatic",0.699569366129924,0.77850156044459
"Companion Animal vs Wild Animal",0.520669808697774,0.669432611182853
"Companion Animal vs Animal Feed",0.691489005207955,0.77850156044459
"ND vs Laboratory",0.00178933747831531,0.00420105320995768
"ND vs Aquatic",0.187360486610571,0.287512120653151
"ND vs Wild Animal",0.00572173177764042,0.0123589406397033
"ND vs Animal Feed",0.34182978871883,0.476926970404766
"Laboratory vs Aquatic",0.107580740513919,0.200322758198333
"Laboratory vs Wild Animal",0.117201464106164,0.210962635391095
"Laboratory vs Animal Feed",NA,NA
"Aquatic vs Wild Animal",0.958202815077144,0.976282113474826
"Aquatic vs Animal Feed",0.626551419321441,0.754841020749842
"Wild Animal vs Animal Feed",0.633786079182697,0.754841020749842
